Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,770437327,9884.320197411142,16023,0.2055669643367614,0,6956900,89.2534989823638,153,0.001962912409881076,0,
United States of America,Americas,103436829,31249.547,0,0,0,1127152,340.527,0,0,0
China,Western Pacific,99306563,6749.64,0,0,0,121679,8.27,0,0,0
India,South-East Asia,44997326,3260.665,209,0.015,0,532023,38.552,94,0.007,0
France,Europe,38997490,59959.831,0,0,0,167985,258.282,0,0,0
Germany,Europe,38437756,46217.718,0,0,0,174979,210.395,0,0,0
Brazil,Americas,37717062,17744.244,0,0,0,704659,331.512,0,0,0
Republic of Korea,Western Pacific,34436542,67168.109,0,0,0,35812,69.851,0,0,0
Japan,Western Pacific,33803572,26727.165,0,0,0,74694,59.058,0,0,0
Italy,Europe,25955703,43519.543,2703,4.532,0,191276,320.71,10,0.017,0
The United Kingdom,Europe,24688073,36366.956,50,0.074,0,228924,337.218,0,0,0
Russian Federation,Europe,22994849,15756.97,5217,3.575,0,399999,274.095,16,0.011,0
Türkiye,Europe,17004677,20162.278,0,0,0,101419,120.252,0,0,0
Spain,Europe,13980340,29536.378,0,0,0,121852,257.438,0,0,0
Viet Nam,Western Pacific,11622912,11940.704,143,0.147,0,43206,44.387,0,0,0
Australia,Western Pacific,11587275,45440.501,0,0,0,22781,89.338,0,0,0
Argentina,Americas,10044957,22225.434,0,0,0,130472,288.682,0,0,0
Netherlands,Europe,8617412,49503.777,0,0,0,22986,132.046,0,0,0
Mexico,Americas,7633355,5920.416,0,0,0,334336,259.31,0,0,0
Iran (Islamic Republic of),Eastern Mediterranean,7613757,9064.757,0,0,0,146329,174.216,0,0,0
Indonesia,South-East Asia,6813287,2490.932,0,0,0,161918,59.197,0,0,0
Poland,Europe,6518924,17173.983,0,0,0,119638,315.184,0,0,0
Colombia,Americas,6378000,12534.665,0,0,0,142961,280.961,0,0,0
Austria,Europe,6081287,68320.9,0,0,0,22534,253.161,0,0,0
Portugal,Europe,5610180,54489.409,0,0,0,27247,264.639,0,0,0
Ukraine,Europe,5518385,12618.136,0,0,0,109904,251.302,0,0,0
Greece,Europe,5370810,50107.547,0,0,0,37413,349.049,0,0,0
Chile,Americas,5289055,27667.919,0,0,0,61614,322.313,0,0,0
Malaysia,Western Pacific,5125799,15836.987,0,0,0,37187,114.895,0,0,0
Israel,Europe,4834948,55859.57,507,5.858,0,12645,146.091,1,0.012,0
Belgium,Europe,4807469,41722.665,2,0.017,0,34339,298.018,0,0,0
Thailand,South-East Asia,4756593,6814.605,187,0.268,0,34465,49.377,6,0.009,0
Canada,Americas,4697504,12446.306,0,0,0,53147,140.816,0,0,0
Czechia,Europe,4644473,43430.891,294,2.749,0,42820,400.414,1,0.009,0
Peru,Americas,4517034,13699.666,0,0,0,221364,671.373,0,0,0
Switzerland,Europe,4409757,50952.647,0,0,0,14037,162.191,0,0,0
Philippines,Western Pacific,4110205,3750.835,688,0.628,0,66661,60.833,0,0,0
South Africa,Africa,4072533,6866.672,0,0,0,102595,172.985,0,0,0
Romania,Europe,3421949,17703.853,4772,24.688,0,68282,353.265,12,0.062,0
